player_id,player_name,position,team,status,height,weight,college,years_exp
1604,Nick Williams,WR,DEN,Active,70,184,UConn,10.0
6899,Terence Steele,T,DAL,Active,78,310,Texas Tech,6.0
4948,Orlando Brown,T,CIN,Active,80,350,Oklahoma,8.0
8750,Michael Niese,G,DET,Active,77,300,Temple,4.0
6283,Corey Ballentine,CB,DAL,Active,72,191,Washburn,7.0
11586,Blake Corum,RB,LAR,Active,68,202,Michigan,2.0
11139,Elijah Cooks,WR,NO,Active,76,215,San Jose State,3.0
8225,Daniel Bellinger,TE,NYG,Active,78,255,San Diego State,4.0
12959,Bryce Pierre,TE,CAR,Active,77,255,UCLA,1.0
5938,Lil'Jordan Humphrey,WR,DEN,Active,76,225,Texas,7.0
12648,Cody Simon,LB,ARI,Active,74,230,Ohio State,1.0
12504,Kaleb Johnson,RB,PIT,Active,73,224,Iowa,1.0
12585,James Pearce,DL,ATL,Active,77,243,Tennessee,1.0
12079,Treyton Welch,TE,NO,Active,76,240,Wyoming,2.0
7979,Ryan Neuzil,OL,ATL,Active,75,305,Appalachian State,5.0
7440,Aaron Brewer,OL,MIA,Active,73,295,Texas State,6.0
12474,Woody Marks,RB,HOU,Active,70,208,USC,1.0
5869,Michael Jordan,G,TB,Active,78,312,Ohio State,7.0
7391,Bryce Huff,DE,SF,Active,75,255,Memphis,6.0
8380,Thomas Booker,DL,LV,Active,75,301,Stanford,4.0
11446,Henry Byrd,G,MIN,Active,77,314,Princeton,3.0
11016,Malaesala Aumavae-Laulu,OL,WAS,Active,77,325,Oregon,3.0
11644,Cody Schrader,RB,DEN,Active,69,214,Missouri,2.0
4040,JuJu Smith-Schuster,WR,KC,Active,73,215,USC,9.0
10889,Tyree Wilson,LB,LV,Active,77,263,Texas Tech,3.0
12171,British Brooks,RB,HOU,Active,71,225,North Carolina,2.0
2592,Grady Jarrett,DT,CHI,Active,73,294,Clemson,11.0
6179,Jahlani Tavai,LB,NE,Active,74,255,Hawai'i,7.0
3159,Laremy Tunsil,OL,WAS,Active,77,313,Ole Miss,10.0
8013,Tim Jones,WR,JAX,Active,73,200,Southern Miss,5.0
13074,Isaiah Neyor,WR,GB,Active,76,218,Nebraska,1.0
12382,Jake Kubas,OG,NYG,Active,76,308,North Dakota State,2.0
7069,Alohi Gilman,DB,BAL,Active,70,201,Notre Dame,6.0
6185,Easton Stick,QB,ATL,Active,73,224,North Dakota State,7.0
5048,Isaac Yiadom,CB,NO,Active,73,188,Boston College,8.0
11666,Amarius Mims,OL,CIN,Active,80,350,Georgia,2.0
2216,Mike Evans,WR,TB,Active,77,231,Texas A&M,12.0
6682,Kareem Orr,DB,LAR,Active,71,195,Chattanooga,3.0
10982,Mike Morris,DE,SEA,Active,78,295,Michigan,3.0
7562,Tutu Atwell,WR,LAR,Active,69,165,Louisville,5.0
10946,Jon Gaines,OL,ARI,Active,76,315,UCLA,3.0
11847,James Williams,DB,TEN,Active,76,232,Miami (FL),2.0
7149,Tommy Stevens,TE,NYG,Active,77,235,Mississippi State,2.0
4070,T.J. Watt,LB,PIT,Active,76,252,Wisconsin,9.0
8132,Tyler Allgeier,RB,ATL,Active,70,225,BYU,4.0
12523,Jimmy Horn,WR,CAR,Active,68,174,Colorado,1.0
8254,Julius Chestnut,RB,TEN,Active,71,228,Sacred Heart,4.0
13039,Reid Holskey,OL,NYG,Active,78,306,Miami (OH),1.0
13261,Layne Pryor,TE,HOU,Active,74,250,Northern Iowa,1.0
8107,Nikola Kalinic,TE,CHI,Active,76,245,York (CAN),4.0
12489,RJ Harvey,RB,DEN,Active,68,205,UCF,1.0
12624,Caleb Rogers,OL,LV,Active,76,312,Texas Tech,1.0
8157,Bailey Zappe,QB,NYJ,Active,73,220,Western Kentucky,4.0
8223,Velus Jones,WR,SEA,Active,72,204,Tennessee,4.0
8666,Darrell Baker,CB,TEN,Active,73,190,Georgia Southern,4.0
4072,Tre'Davious White,CB,BUF,Active,71,192,LSU,9.0
3189,Eli Apple,CB,SF,Active,73,203,Ohio State,10.0
12612,T.J. Sanders,DL,BUF,Active,76,297,South Carolina,1.0
7535,Hunter Long,TE,JAX,Active,77,243,Boston College,5.0
11263,Lorenz Metz,OL,NE,Active,81,330,Cincinnati,2.0
8088,Kalif Jackson,TE,MIA,Active,77,255,Grambling State,1.0
7777,Trey Smith,OL,KC,Active,78,321,Tennessee,5.0
11384,Owen Wright,RB,TB,Active,69,217,Monmouth,3.0
13019,Greedy Vance,CB,LV,Active,69,177,USC,1.0
8470,Joshua Williams,CB,KC,Active,75,193,Fayetteville State,4.0
11959,Bryce Oliver,WR,TEN,Active,73,214,Youngstown State,2.0
6060,Sean Murphy-Bunting,CB,ARI,Active,72,195,Central Michigan,7.0
11807,Darius Muasau,LB,NYG,Active,72,234,UCLA,2.0
7663,Teven Jenkins,OL,CLE,Active,78,321,Oklahoma State,5.0
11754,Mohamed Kamara,DL,TB,Active,73,253,Colorado State,2.0
11824,Travis Clayton,OT,BUF,Active,79,301,,2.0
10911,Derick Hall,DE,SEA,Active,75,254,Auburn,3.0
11391,Ethan Bonner,CB,MIA,Active,73,190,Stanford,3.0
5454,Coleman Shelton,OL,LAR,Active,77,292,Washington,8.0
12650,Danny Stutsman,LB,NO,Active,75,233,Oklahoma,1.0
7136,Kam Curl,DB,LAR,Active,74,207,Arkansas,6.0
8253,Deven Thompkins,WR,ATL,Active,68,155,Utah State,4.0
8285,Josh Ross,LB,MIN,Active,72,229,Michigan,4.0
11732,Tory Taylor,P,CHI,Active,76,225,Iowa,2.0
8861,Irvin Charles,WR,NYJ,Active,76,219,Indiana (PA),4.0
8821,Adedayo Odeleye,DE,DAL,Active,77,271,,4.0
1340,Lane Johnson,T,PHI,Active,78,325,Oklahoma,13.0
12642,Jalen Travis,OT,IND,Active,80,339,Iowa State,1.0
1674,A.J. Bouye,CB,CAR,Active,72,191,UCF,9.0
1233,Bobby Wagner,LB,WAS,Active,72,242,Utah State,14.0
5346,Zaire Franklin,LB,IND,Active,72,235,Syracuse,8.0
