player_id,season,week,passing_yards,passing_tds,passing_ints,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,fumbles,fantasy_points,games_played,targets,carries,player_name
8279,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Perrion Winfrey
4913,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Aiulua Fanene
12593,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jack Sawyer
8460,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Sean Rhyan
9488,2024,,35.0,0.0,0.0,26.0,0.0,1130.0,6.0,100.0,0,153.0,17.0,137.0,5.0,Jaxon Smith-Njigba
9510,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Lew Nichols
11007,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Bryce Baringer
7526,2024,,0.0,0.0,0.0,12.0,0.0,744.0,2.0,58.0,0,91.6,15.0,83.0,4.0,Jaylen Waddle
7853,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,12.0,0.0,0.0,Naquan Jones
13079,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jahdae Walker
5452,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,17.0,0.0,0.0,J.T. Gray
11779,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.5,14.0,0.0,0.0,Tarheeb Still
12143,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Bayron Matos
13047,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Jacardia Wright
6214,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,17.0,0.0,0.0,Quincy Williams
1844,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Tyler Ott
2944,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Matt LaCosse
12145,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Andrew Meyer
12636,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Que Robinson
5691,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Mike Ford
12082,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,0.0,0.0,Jalen Sundell
8369,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Chance Campbell
6025,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,17.0,0.0,0.0,Mike Jackson
11757,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,Edefuan Ulofoshio
8462,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Luke Fortner
4915,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Michael Coe
2197,2024,,0.0,0.0,0.0,-3.0,0.0,259.0,3.0,26.0,0,43.6,10.0,54.0,3.0,Brandin Cooks
12565,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Will Johnson
8385,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,16.0,0.0,0.0,George Karlaftis
11330,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,Rejzohn Wright
7301,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,17.0,0.0,0.0,Tershawn Wharton
8785,2024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,0.0,Cal Adomitis
